,datePublished,review_title,text_content,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
160,24th February 2023,unexpected and unhappy experience,Not Verified ,"  Recently travelled with my 2 months baby and old-age mom and had very unexpected and unhappy experience with the flight attendant. Because I was having my 2 months old baby and my mother's height was not enough to reach the baggage area, I asked the flight attendant to help with my cabin bag to put in the above storage. She straight away rejected my request very rudely. Other passengers were observing the situation and offered me a help. The flight attendant knew that my mom's height was not tall enough to reach the above baggage area but she still rudely said to her, ""don't just stare, you have to put your bags by your own"". If you are not there to help the passengers then what you are there for? If we were able to put the bags by ourselves we would have never asked them for help. Forget about humanity, at least they should do their own duty with some basic honesty. I hope no one will have such a bad experience that we had! Have a safe and happy travel.",NA,Family Leisure,Economy Class,London to Mumbai,Jan-23,4,1,3,3,4,NA,3,no
161,24th February 2023, A big no for Air India,Not Verified ,"  First time travelled with Air India. The entertainment system did not work for 14 hr flight. When asked was not answered properly. The food tray was dirty. Surprisingly i was ignored twice while serving food, and had to ask again and again. They only serve you 210 ml water glass twice in the flight. No water bottles. The seat was broken and the whole flight i was uncomfortable. There was no soap in the washroom. I paid extra for aisle seat and got a broken chair to sit on for 14 hrs. A big no for Air India",NA,Family Leisure,Economy Class,Toronto to New Delhi,Feb-23,1,1,2,1,1,NA,1,no
162,24th February 2023,Long delays are just norm,Not Verified ," The worst airline I have traveled with so far! Long delays are just norm for this airline. Very old planes, broken entertainment system. Least help from ground crew. Super unorganized check-in process",Boeing 777-300,Family Leisure,Economy Class,Newark to Delhi,Feb-23,1,4,2,1,1,NA,1,no
163,24th February 2023,Horrible experience,Trip Verified ,"  Had a confirmed business class seat in Air india from Delhi to NY , but when I reached the counter they had cancelled my booking since I had not checked in online. After much argument they tried putting me on a next day flight to Chicago, with in hotel to stay nor any transport. Said no to that and then finally the manager said she would get me on a seat the next day, while looking into that she said one seat had become vacant since a passenger had dropped out, finally after 2.5 hrs, got a boarding pass, only to find that the flight had 7 empty seats. On the flight after a small snack, no food was served for the next thirteen hours, since I was hungry asked for a sandwich. The movies were pathetic, the sound was horrible and the toilets were deplorable. Never again am I flying Air India. Horrible experience.",NA,Business,Business Class,Delhi to New York,Feb-23,2,3,3,1,2,NA,1,no
164,22nd February 2023,do avoid at all costs,Trip Verified ," Now I understand why this flight cost was so much cheaper than any other airline flying to Australia. First flight from Tel Aviv to Delhi was completely doable, no complaints there. The 12-hour flight however to Melbourne. Where do I start? I especially asked the check-in personnel that I wanted an aisle seat and confirmed with him twice, well you guessed right: I was stuck between two people for 12 hours in the most uncomfortable seat ever that would've required me to get up and stretch just about every hour. Disgusting, not maintained aircraft. Filthy and uncomfortable in every sense of the word - ok this is not Air India's fault, but I was amongst 4 screaming toddlers the whole way. Lovely! More of that please! Said no one ever. Food was disgusting. Options: Veg or non-veg? Could you please specify? You know what, I rather don't want to hear. Crew looked overworked and annoyed with everyone - I left the best one last: the in-flight entertainment didn't work for like half the aircraft, including me if me course. They ""tried"" restarting the whole system but it didn't work. Also, the reading lights didn't work. Just sit in the dark, bored out of your face for 12 hours, you're welcome dear passenger. This is surely not tailored for a Western traveller, do avoid at all costs and pay the extra 500 dollars, it's worth it.",Boeing 787-8,Solo Leisure,Economy Class,Tel Aviv to Melbourne via Delhi,Feb-23,1,1,1,1,1,NA,1,no
165,22nd February 2023,Disrespectful and rude cabin crew,Trip Verified ,"  Disrespectful and rude cabin crew and that too in an international flight. They never respond to service call buttons. After not getting a response for an hour after pressing the call button, I asked a flight attendant passing by about my query. She instead charged me by saying  ""Mam why are you pressing the call button so many times, it is so annoying"" in a very rude tone, when I was not even the one who pressed it. Many passengers had pressed the call button and they didn't respond to anyone. Instead they were irritated on asking questions and acted like they were doing a favour by answering..",NA,Solo Leisure,Economy Class,Paris to Delhi,Feb-23,3,1,3,2,3,1,3,no
166,22nd February 2023,entertainment system not working,Trip Verified ,"  I am a frequent flyer member of Air India. The login and password never works to check your point you have got while travelling and no support if you call them. On 20/02/2023, I did online checking to fly from Sydney to Delhi so we have just baggage drop process only. To my surprise I had to wait for longer time than people who did not do check on line as there were more counter for people who did not do the on line so it was a big failure on part of Air India. I was given a seat on 37 J , Again to my surprise that row have no window to look outside and I found out the entertainment system in my seat was not working.",Boeing 787,Family Leisure,Economy Class,Sydney to Delhi,Feb-23,2,2,1,1,1,1,1,no
167,21st February 2023,Seats were very uncomfortable,Trip Verified ,"  Very cheap seats and old, it’s like sitting on a metal seat more than anything. The tv’s don’t work.  The food was terrible and breakfast was horrendous. However, you do have a staff that try their best even if the company itself isn’t doing anything about these issues. Seats were very uncomfortable. Never travelling again with Air India.",NA,Family Leisure,Economy Class,London Heathrow to Delhi,Feb-23,1,5,1,1,5,1,1,no
168,18th February 2023,Very uncooperative airline,Not Verified ,"  Very uncooperative airline, not helpful, delayed 6 hours from Delhi to Mumbai. Then I missed my second flight. I'm begging these guys to reimburse my ticket but no one helped me. Not even single employee helped me. No one even worked on my complaint",NA,Solo Leisure,Economy Class,Delhi to Calgary via Mumbai,Feb-23,1,1,1,1,1,1,1,no
169,18th February 2023,such a bad flight and experience,Trip Verified ,"  Worst flight, no aircon working, no staff service. I press so many time to call button for water or any service but no one come. My first and last experience with Air India, such a bad flight and experience.",NA,Solo Leisure,Economy Class,Bangkok to Mumbai,Feb-23,1,1,2,1,1,1,1,no
